ax-0,ay-0,ax-1,ay-1,ax-2,ay-2
-0.002476828,0.010624667,-0.008961632,-0.006274001,0.008710085,-0.004155348
-0.002109921,0.010356609,-0.007569044,-0.007288606,0.00997246,-0.003553436
-0.004492446,0.01128751,-0.007431156,-0.00944726,0.011855348,-0.001906808
-0.009999985,0.013045735,-0.005837287,-0.014550606,0.016191146,0.001864996
-0.001562706,-0.000158437,-0.000186076,0.001692517,0.000510513,6.77E-05
-6.05E-07,0.000183332,-2.63E-05,0.000145118,-0.000608172,-0.000610111
-7.07E-07,-0.000158926,0.00020338,-0.000192086,-0.000263492,-0.000259954
6.37E-05,-0.000232725,-0.000326885,0.000189576,-0.000415992,-0.000366214
-0.003029355,-0.011865811,0.01292632,0.005970494,-0.011075783,0.007677718
-0.007016098,-0.017103421,0.020497861,0.003002484,-0.011682771,0.016001817
-0.019264542,-0.018178604,0.025481131,-0.009685535,-0.004626305,0.026763819
-0.017878969,-0.012425856,0.017261331,-0.004190404,-0.005384266,0.016634879
-0.000917466,0.010642749,-0.009919006,-0.004654587,0.010428181,-0.002496819
-0.001303854,0.010822818,-0.008424361,-0.006873479,0.010350338,-0.003537752
-0.004258651,0.011264294,-0.007698788,-0.009383261,0.012583482,-0.002014465
-0.009978476,0.013122508,-0.005905503,-0.015040954,0.016282132,0.003080943
-0.000315092,-0.000563492,-0.000228759,-0.00049477,-0.000403674,0.000235057
-0.000281554,-0.000452271,-0.000208252,-0.000282783,0.00048142,0.000844678
0.000261445,-0.000478514,-0.000249264,0.000164812,-3.91E-07,0.000103411
0.000195556,-0.000218411,-0.000105831,9.07E-05,0.000177278,0.000353475
-0.001669505,-0.012953151,0.011102607,0.007314809,-0.01197383,0.006027633
-0.008152882,-0.018517553,0.019234834,0.002917895,-0.012868877,0.015526418
-0.021061763,-0.017583294,0.025771236,-0.008671793,-0.004660552,0.027108459
-0.011584713,-0.013188021,0.016858957,-0.003121735,-0.005454312,0.017070171
0.001651496,0.010392045,-0.008960858,-0.006292228,0.009106207,-0.004963767
-0.002101086,0.010514825,-0.008618829,-0.00734632,0.009641996,-0.004749046
-0.003532245,0.011582738,-0.008115277,-0.009426461,0.011584873,-0.002273863
-0.009906668,0.01246017,-0.006490985,-0.014857037,0.015871214,0.001773162
0.001562374,0.00012625,0.000481493,0.000275077,0.000783805,0.000271853
0.000277157,0.000185179,-0.000220915,0.001470209,-0.000254047,0.000309928
-0.000178732,-7.49E-05,3.96E-05,0.000330875,-0.000248716,0.000459263
0.000460316,-7.52E-05,0.000100448,0.000132907,-0.00030779,0.000106109
-0.003216802,-0.01278315,0.012524202,0.003862406,-0.009785773,0.009874356
-0.00799847,-0.018664742,0.020085488,0.003591161,-0.012404699,0.016791782
-0.020589599,-0.017235392,0.026086143,-0.009622364,-0.004743007,0.027489672
