ax-0,ay-0,omega-0,ax-1,ay-1,omega-1
-0.002378052,0.009936313,-0.009969546,-0.005105372,0.009387747,-0.003744026
-0.001692497,0.010328228,-0.008335399,-0.006985961,0.00991877,-0.003546076
-0.003957105,0.011067325,-0.008005782,-0.008922457,0.011995859,-0.00278869
-0.009773734,0.012987383,-0.006483636,-0.014433564,0.015906523,0.002138506
-0.001560386,0.008823945,-0.006659129,-0.0048297,0.008745637,-0.001836745
-0.001918474,0.009453541,-0.007202181,-0.005979433,0.008570785,-0.003647561
-0.003598889,0.010567741,-0.007491589,-0.008222321,0.010928062,-0.002494457
-0.00810956,0.011822153,-0.006665002,-0.012494121,0.014196318,0.000975795
0.002217307,0.005982202,-0.004297877,-0.004631867,0.006507453,-0.002254998
3.39E-05,0.007195054,-0.00590486,-0.004370027,0.007306164,-0.001667704
-0.001265324,0.008622477,-0.0060616,-0.005925792,0.008514861,-0.001726392
-0.004776273,0.009986807,-0.006672526,-0.00926831,0.011534279,-0.00071593
0.000708905,0.010371655,-0.009266749,-0.00570833,0.009919134,-0.003960204
-0.001400784,0.010665721,-0.007620768,-0.008022691,0.009949496,-0.002748884
-0.004160583,0.011392799,-0.007505549,-0.009855096,0.011765243,-0.001914639
-0.009887673,0.012845807,-0.006084623,-0.015090811,0.015982106,0.001843571
-0.002197407,0.008841193,-0.006059774,-0.005946097,0.00863773,-0.004821621
-0.001365919,0.009110872,-0.006671304,-0.006427155,0.009333869,-0.002526185
-0.003687304,0.010046686,-0.007349444,-0.007908251,0.010884187,-0.001887753
-0.007504796,0.011932399,-0.006616411,-0.012260144,0.014081379,0.001008594
-0.001039501,0.007222111,-0.004269096,-0.005376027,0.00748523,-0.001995988
-0.00174582,0.007550651,-0.006000381,-0.004248968,0.007167551,-0.002774499
-0.002678385,0.008621631,-0.005994481,-0.00677834,0.009076188,-0.001815224
-0.005022089,0.010552361,-0.006563619,-0.009824633,0.012148517,-0.000718955
-0.001697485,0.009668015,-0.008602114,-0.007203775,0.011243882,-0.002134897
-0.001677655,0.011053582,-0.008407478,-0.007488915,0.010975258,-0.003347573
-0.004687426,0.01128414,-0.007850223,-0.009896621,0.012942271,-0.001690208
-0.010431181,0.012858154,-0.00599179,-0.015281812,0.017019805,0.003047417
0.001305103,0.008442066,-0.0068813,-0.006579911,0.009242244,-0.001372897
-0.001132541,0.008222271,-0.007317012,-0.006724295,0.008944316,-0.002186835
-0.002855532,0.009554039,-0.007306984,-0.008561057,0.010632878,-0.00203385
-0.006621475,0.011899241,-0.006094489,-0.01277216,0.01395372,0.000673505
-3.58E-05,0.006605768,-0.005167702,-0.003726094,0.005689505,-0.004615774
-0.000865079,0.006878343,-0.006234411,-0.003941096,0.006854159,-0.002815983
-0.002110224,0.008608649,-0.006566775,-0.00597536,0.0085498,-0.001941854
-0.004903361,0.010330949,-0.006909634,-0.009300245,0.011322888,-0.000948383
0.001774037,0.011488025,-0.008712781,-0.005695083,0.008368222,-0.006694527
-0.001610344,0.010753446,-0.008683883,-0.006106897,0.010030205,-0.003550636
-0.003483145,0.011631336,-0.008087413,-0.009005195,0.01176199,-0.002626988
-0.009608893,0.012605084,-0.006149626,-0.014549425,0.015995699,0.002018661
-0.002259237,0.009306268,-0.007840907,-0.004578712,0.007952897,-0.003851795
-0.002496532,0.009028483,-0.007087983,-0.005894726,0.008567473,-0.003167774
-0.003364434,0.010104908,-0.007185828,-0.007923613,0.010312687,-0.002706537
-0.007856042,0.011819362,-0.006482435,-0.012059033,0.013654503,4.46E-05
-0.000286,0.005942282,-0.006218579,-0.004108646,0.005297997,-0.004437968
-0.000853783,0.007340798,-0.006497181,-0.004194834,0.006458991,-0.003127221
-0.002270341,0.008296772,-0.006586002,-0.005964104,0.008453096,-0.00271041
-0.004971382,0.010404241,-0.006373385,-0.009377989,0.011687407,-0.000859557
0.000411057,0.010282853,-0.008696698,-0.006861505,0.010163448,-0.004371513
-0.002080294,0.010149296,-0.008157694,-0.007581269,0.010261705,-0.003753057
-0.003725006,0.011174643,-0.007754301,-0.009754962,0.012215963,-0.002428677
-0.009488188,0.012928126,-0.0057597,-0.014781916,0.015858546,0.00241892
0.000416537,0.008032642,-0.006144376,-0.006400328,0.007225777,-0.00459198
-0.000569687,0.008761083,-0.0066523,-0.006169927,0.008669594,-0.002534506
-0.00230398,0.010041971,-0.007383391,-0.007697312,0.010627738,-0.001806407
-0.007019911,0.011552561,-0.006239896,-0.012019395,0.014319684,0.000499034
-0.000996783,0.006806956,-0.007170427,-0.001703895,0.006088183,-0.004105129
-0.001769422,0.007594048,-0.006057701,-0.004348339,0.006398289,-0.002832124
-0.002190496,0.00898272,-0.006710476,-0.00584624,0.008564947,-0.002109677
-0.005161075,0.010596801,-0.00659171,-0.00922681,0.011489903,-0.000571253
-0.000440318,0.009598124,-0.009290964,-0.004922574,0.009444333,-0.003787571
-0.001890617,0.009967907,-0.008420753,-0.006799712,0.010492854,-0.002554829
-0.003439461,0.011718445,-0.007571327,-0.00957037,0.012575044,-0.001697608
-0.009788201,0.012921283,-0.005908094,-0.014802634,0.015917298,0.00245392
-0.00019722,0.007985846,-0.007289663,-0.004146265,0.008652323,-0.00146777
-0.000754478,0.00896709,-0.007895135,-0.005129021,0.008961926,-0.002041131
-0.003290104,0.010173403,-0.007935438,-0.007631025,0.011038434,-0.002337573
-0.007363004,0.01188634,-0.00667068,-0.012190395,0.014467347,0.00075123
0.000583102,0.006729161,-0.00541762,-0.004291633,0.004837207,-0.004913574
-0.000589371,0.007501743,-0.006062854,-0.004346345,0.006087555,-0.003304091
-0.002061242,0.008750797,-0.006063369,-0.006307657,0.007933711,-0.002404858
-0.005271235,0.010014477,-0.006355195,-0.009258646,0.010914388,-0.001533991
-0.001644792,0.009257479,-0.009073564,-0.005960145,0.009055679,-0.005948948
-0.002339903,0.010023794,-0.008072502,-0.0072577,0.009937417,-0.004659088
-0.004010255,0.010928272,-0.007653612,-0.009535355,0.012103316,-0.002838332
-0.009189911,0.012310818,-0.006401008,-0.014736917,0.015993247,0.001733144
-0.001495533,0.008270213,-0.00878045,-0.002931453,0.007670833,-0.00374211
-0.001585606,0.009250681,-0.007857935,-0.004873599,0.007989081,-0.003911351
-0.00357115,0.009952054,-0.007720148,-0.007805532,0.010080744,-0.00247297
-0.007576352,0.011769931,-0.006475438,-0.012155253,0.014145452,9.31E-05
-0.000625237,0.00616579,-0.005659117,-0.002926471,0.005191305,-0.002678779
0.000276215,0.007382642,-0.006012501,-0.004118761,0.006360204,-0.003536974
-0.001714733,0.008348827,-0.00650695,-0.005897573,0.008725552,-0.002814551
-0.004848196,0.010160139,-0.006776897,-0.009024341,0.011499159,-0.001179395
0.000751857,0.010159059,-0.010468712,-0.003497383,0.008750083,-0.004830751
-0.002443287,0.010334118,-0.008712401,-0.006143495,0.009735385,-0.004201112
-0.004499522,0.011167226,-0.007581695,-0.008924673,0.011770748,-0.002695184
-0.009812991,0.012725636,-0.006295253,-0.014515051,0.015877838,0.002158678
-0.000616054,0.008731677,-0.00626049,-0.005311585,0.009539877,-0.001155193
-0.00066239,0.009106918,-0.007117367,-0.005880944,0.009509322,-0.002009998
-0.002560968,0.010186817,-0.007119796,-0.008049768,0.010661789,-0.001941827
