°C,No,PT100两端电压(V),热敏电阻阻值(Ω),PN结两端电压(V),PT100阻值(Ω),热力学温度(K),1/T(K^-1),lnR (lnΩ)
40.824,590,0.11585725,2325.12783,0.489517956,108.6840998,313.974,0.003184977,7.751530297
41.003,640,0.115926392,2316.544939,0.489445835,108.7489604,314.153,0.003183162,7.747832104
42.001,726,0.116311557,2235.497519,0.487522035,109.1102787,315.151,0.003173082,7.712219086
43.001,782,0.116697557,2155.443946,0.485432415,109.4723797,316.151,0.003163046,7.675751989
44.004,820,0.117084391,2084.596609,0.483609109,109.8352635,317.154,0.003153042,7.642330643
45.02,848,0.117476351,2016.119362,0.481749325,110.202956,318.17,0.003142974,7.608929835
46.031,873,0.117865927,1946.147588,0.479736953,110.5684119,319.181,0.003133019,7.573607101
47.018,894,0.118246324,1881.268345,0.477797656,110.925257,320.168,0.00312336,7.53970148
48.006,912,0.118627198,1820.518453,0.475901155,111.2825494,321.156,0.003113752,7.506876604
49.046,930,0.11902786,1756.219373,0.473817854,111.6584053,322.196,0.003103701,7.470918694
50.008,945,0.119398243,1700.618964,0.471921114,112.0058568,323.158,0.003094462,7.438747561
51.083,961,0.119812019,1640.052446,0.469753055,112.394014,324.233,0.003084202,7.4024835
52.062,975,0.120188839,1586.559271,0.467749028,112.7475041,325.212,0.003074917,7.36932297
53.067,989,0.120575435,1533.015402,0.46565452,113.1101644,326.217,0.003065444,7.334991926
54.029,1002,0.120945103,1483.576476,0.463632015,113.4569448,327.179,0.003056431,7.302210989
55.042,1015,0.121334798,1434.673901,0.461545495,113.8225126,328.192,0.003046997,7.268692856
56.052,1028,0.121722825,1386.484795,0.459402708,114.1865147,329.202,0.003037649,7.234526899
57.012,1040,0.122091897,1342.794916,0.457376507,114.5327361,330.162,0.003028816,7.202508479
58.05,1053,0.122490652,1296.437043,0.45513728,114.9068028,331.2,0.003019324,7.167375044
59.027,1065,0.122865923,1254.659131,0.45302656,115.2588392,332.177,0.003010443,7.134619206
60.051,1077,0.123258717,1213.918877,0.450887111,115.6273145,333.201,0.003001191,7.101609147
61.049,1089,0.123641856,1174.251954,0.448719648,115.9867316,334.199,0.002992229,7.068386589
62.079,1101,0.124037154,1135.735967,0.446522024,116.3575553,335.229,0.002983035,7.035036149
63.072,1113,0.124418028,1098.35965,0.44430342,116.7148477,336.222,0.002974225,7.001573119
64.041,1124,0.124789603,1065.133337,0.442249325,117.0634174,337.191,0.002965678,6.970855269
65.072,1136,0.125184663,1030.020716,0.4399915,117.4340175,338.222,0.002956638,6.937334193
67.074,1159,0.125951655,965.9713486,0.435620215,118.1535228,340.224,0.00293924,6.873134174
68.137,1171,0.126358636,934.2476984,0.43332174,118.5353056,341.287,0.002930085,6.839741605
69.002,1181,0.126689799,908.676142,0.431394245,118.8459655,342.152,0.002922678,6.811988751
70.077,1193,0.127101429,879.0134119,0.42907169,119.2321097,343.227,0.002913524,6.778800156
71.042,1204,0.12747062,852.7803333,0.426946427,119.5784429,344.192,0.002905355,6.748501992
72.007,1215,0.127839811,827.4322049,0.424806859,119.9247761,345.157,0.002897232,6.718327176
73.05,1227,0.128238566,800.7854403,0.422474171,120.2988428,346.2,0.002888504,6.685593046
74.03,1238,0.128613003,777.2341238,0.420333768,120.6500964,347.18,0.00288035,6.655741623
75.011,1249,0.128988035,754.5126828,0.418187166,121.0019093,348.161,0.002872234,6.626072088
76.056,1261,0.129387267,730.6190271,0.41584375,121.3764233,349.206,0.002863639,6.593892157
77.049,1272,0.129766591,709.5398134,0.413694526,121.7322619,350.199,0.002855519,6.56461661
78.095,1284,0.130165942,687.3785071,0.411351705,122.1068877,351.245,0.002847016,6.532885097
79.012,1295,0.130515941,667.8426366,0.409202004,122.4352165,352.162,0.002839602,6.504052572
80.062,1307,0.130916365,647.2734897,0.406860614,122.8108488,353.212,0.002831161,6.472768909
81.009,1318,0.131277569,629.1464048,0.404718662,123.1496895,354.159,0.002823591,6.444363988
